               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.044136,             0.01262,            0.016003,             0.59291,             0.60463,              0.5421,             0.20382,            0.035872,            0.010345,            0.010901,            0.008812,            0.008812,            0.008812
                  38,            0.044194,            0.012166,            0.015588,             0.64012,             0.62462,             0.60967,              0.2379,            0.035276,              0.0101,              0.0104,            0.008779,            0.008779,            0.008779
                  39,            0.045205,            0.011926,            0.015073,              0.5927,             0.58585,             0.55389,             0.19862,            0.034532,           0.0099503,            0.010562,            0.008746,            0.008746,            0.008746
                  40,             0.04175,            0.011622,            0.015267,             0.61772,             0.63005,              0.6048,             0.22897,            0.035023,            0.010004,            0.010001,            0.008713,            0.008713,            0.008713
                  41,            0.043631,            0.012108,            0.012863,             0.69435,             0.63112,              0.6379,             0.25404,            0.033195,            0.010112,           0.0096111,             0.00868,             0.00868,             0.00868
                  42,             0.04336,            0.012212,            0.015959,             0.66466,             0.66294,             0.64384,             0.25717,            0.033957,           0.0098898,           0.0088935,            0.008647,            0.008647,            0.008647
                  43,            0.040152,            0.012258,             0.01424,             0.70697,              0.6612,              0.6528,             0.24924,            0.034672,           0.0097497,           0.0087682,            0.008614,            0.008614,            0.008614
                  44,            0.042975,            0.011721,            0.015641,             0.68029,             0.65943,             0.64167,             0.23492,            0.036262,           0.0095291,           0.0091143,            0.008581,            0.008581,            0.008581
                  45,            0.041776,             0.01175,             0.01399,             0.70102,             0.65773,             0.64608,             0.21871,            0.034376,           0.0097245,            0.008076,            0.008548,            0.008548,            0.008548
                  46,            0.041971,            0.011792,            0.012586,             0.70041,             0.67471,             0.67077,             0.24357,            0.037239,           0.0095507,            0.007696,            0.008515,            0.008515,            0.008515
                  47,            0.041675,            0.011599,            0.013159,              0.7741,             0.69495,             0.71208,             0.28974,            0.032605,           0.0094652,           0.0078926,            0.008482,            0.008482,            0.008482
                  48,            0.043955,            0.012021,            0.012404,              0.7634,             0.70281,             0.72062,             0.29721,            0.032804,           0.0093387,           0.0068284,            0.008449,            0.008449,            0.008449
                  49,            0.044698,             0.01175,             0.01372,             0.73624,             0.69808,             0.70529,              0.2954,            0.032529,           0.0095469,            0.007633,            0.008416,            0.008416,            0.008416
                  50,             0.04135,            0.012004,            0.013176,             0.70095,             0.67151,             0.68168,              0.2518,            0.032824,           0.0097928,           0.0073511,            0.008383,            0.008383,            0.008383
                  51,            0.042541,            0.011454,            0.011952,             0.73446,             0.71644,             0.71797,             0.28992,            0.034216,           0.0094062,           0.0068036,             0.00835,             0.00835,             0.00835
                  52,            0.040935,            0.011269,            0.012851,             0.71529,             0.70813,             0.70994,              0.2693,            0.033192,            0.009373,           0.0062765,            0.008317,            0.008317,            0.008317
                  53,            0.041436,            0.011689,            0.011662,             0.75304,             0.71553,             0.72538,             0.29918,            0.031649,           0.0092879,           0.0060165,            0.008284,            0.008284,            0.008284
                  54,            0.041018,            0.011482,            0.011188,              0.7626,             0.69866,             0.69992,             0.27633,            0.033097,           0.0093788,           0.0065898,            0.008251,            0.008251,            0.008251
                  55,            0.040827,            0.011601,            0.012476,             0.78103,             0.69353,             0.73334,             0.28691,            0.031647,            0.009455,           0.0065645,            0.008218,            0.008218,            0.008218
                  56,            0.037867,            0.011279,             0.01064,             0.80382,             0.72355,             0.76509,             0.31424,            0.031535,           0.0092425,           0.0061849,            0.008185,            0.008185,            0.008185
                  57,            0.040122,            0.011317,            0.010374,             0.81989,             0.72852,             0.76613,             0.30657,            0.031383,           0.0089893,           0.0059114,            0.008152,            0.008152,            0.008152
